Vote,Country,First,Second,Third
Captain,Romania,Cristiano Ronaldo,Hazard Eden,Mbappe Kylian
Captain,Russia,Mbappe Kylian,Modric Luka,Salah Mohamed
Captain,Samoa,Modric Luka,Cristiano Ronaldo,Messi Lionel
Captain,San Marino,Modric Luka,Messi Lionel,Mbappe Kylian
Captain,Saudi Arabia,Cristiano Ronaldo,De Bruyne Kevin,Salah Mohamed
Captain,Scotland,De Bruyne Kevin,Salah Mohamed,Modric Luka
Captain,Senegal,Modric Luka,Cristiano Ronaldo,Mbappe Kylian
Captain,Serbia,Messi Lionel,De Bruyne Kevin,Modric Luka
Captain,Sierra Leone,Messi Lionel,Modric Luka,Griezmann Antoine
Captain,Singapore,Salah Mohamed,Cristiano Ronaldo,Modric Luka
Captain,Slovakia,Modric Luka,Mbappe Kylian,Salah Mohamed
Captain,Slovenia,Modric Luka,Messi Lionel,Salah Mohamed
Captain,South Africa,Cristiano Ronaldo,Modric Luka,Mbappe Kylian
Captain,Spain,Modric Luka,Cristiano Ronaldo,Messi Lionel
Captain,Sri Lanka,Modric Luka,Mbappe Kylian,Griezmann Antoine
Captain,St Kitts and Nevis,Cristiano Ronaldo,Mbappe Kylian,Modric Luka
Captain,St Lucia,Modric Luka,Mbappe Kylian,Cristiano Ronaldo
Captain,Sudan,Mbappe Kylian,Salah Mohamed,Griezmann Antoine
Captain,Suriname,Modric Luka,Cristiano Ronaldo,Hazard Eden
Captain,Swaziland,Cristiano Ronaldo,Messi Lionel,Modric Luka
Captain,Sweden,Salah Mohamed,De Bruyne Kevin,Cristiano Ronaldo
Captain,Switzerland,Cristiano Ronaldo,Messi Lionel,Griezmann Antoine
Captain,Syria,Salah Mohamed,Cristiano Ronaldo,Modric Luka
Captain,Tajikistan,Modric Luka,Salah Mohamed,Cristiano Ronaldo
Captain,Tanzania,Hazard Eden,Modric Luka,Mbappe Kylian
Captain,Thailand,Hazard Eden,Cristiano Ronaldo,Salah Mohamed
Captain,Timor-Leste,Modric Luka,Mbappe Kylian,Cristiano Ronaldo
Captain,Turkey,Modric Luka,Messi Lionel,Cristiano Ronaldo
Captain,Turkmenistan,Cristiano Ronaldo,Mbappe Kylian,Messi Lionel
Captain,Turks and Caicos Islands,Cristiano Ronaldo,Modric Luka,Mbappe Kylian
Captain,Uganda,Mbappe Kylian,Modric Luka,Cristiano Ronaldo
Captain,Ukraine,Modric Luka,Cristiano Ronaldo,Salah Mohamed
Captain,United Arab Emirates,Modric Luka,De Bruyne Kevin,Mbappe Kylian
Captain,Uruguay,Griezmann Antoine,Salah Mohamed,Modric Luka
Captain,USA,Modric Luka,Cristiano Ronaldo,Messi Lionel
Captain,Uzbekistan,Messi Lionel,Cristiano Ronaldo,Modric Luka
Captain,Vanuatu,Mbappe Kylian,Modric Luka,Hazard Eden
Captain,Venezuela,Cristiano Ronaldo,Modric Luka,Salah Mohamed
Captain,Vietnam,Cristiano Ronaldo,Modric Luka,Mbappe Kylian
Captain,Wales,Modric Luka,Mbappe Kylian,Hazard Eden
Captain,Zambia,Cristiano Ronaldo,De Bruyne Kevin,Kane Harry
Coach,Afghanistan,Modric Luka,Mbappe Kylian,De Bruyne Kevin
Coach,Albania,Modric Luka,Cristiano Ronaldo,Hazard Eden
Coach,Algeria,Cristiano Ronaldo,Modric Luka,Mbappe Kylian
Coach,American Samoa,Griezmann Antoine,Modric Luka,Mbappe Kylian
Coach,Andorra,Messi Lionel,Griezmann Antoine,Hazard Eden
Coach,Angola,Cristiano Ronaldo,Messi Lionel,Salah Mohamed
Coach,Argentina,Messi Lionel,Modric Luka,Griezmann Antoine
Coach,Armenia,Griezmann Antoine,Modric Luka,Hazard Eden
Coach,Aruba,Modric Luka,De Bruyne Kevin,Cristiano Ronaldo
Coach,Australia,Modric Luka,Griezmann Antoine,De Bruyne Kevin
Coach,Austria,Modric Luka,Cristiano Ronaldo,Mbappe Kylian
Coach,Azerbaijan,Griezmann Antoine,Modric Luka,Cristiano Ronaldo
Coach,Bahamas,Kane Harry,Messi Lionel,Cristiano Ronaldo
Coach,Bahrain,Salah Mohamed,Modric Luka,De Bruyne Kevin
Coach,Bangladesh,Cristiano Ronaldo,Mbappe Kylian,Griezmann Antoine
Coach,Belarus,Modric Luka,Hazard Eden,Mbappe Kylian
Coach,Belgium,Modric Luka,Varane Raphael,Messi Lionel
Coach,Bermuda,Salah Mohamed,De Bruyne Kevin,Modric Luka
Coach,Bhutan,Modric Luka,De Bruyne Kevin,Cristiano Ronaldo
Coach,Bolivia,Modric Luka,Mbappe Kylian,Griezmann Antoine
Coach,Bosnia and Herzegovina,Modric Luka,Hazard Eden,Griezmann Antoine
Coach,Brazil,Modric Luka,Salah Mohamed,Cristiano Ronaldo
Coach,British Virgin Islands,Mbappe Kylian,Modric Luka,Griezmann Antoine
Coach,Brunei Darussalam,Modric Luka,De Bruyne Kevin,Cristiano Ronaldo
Coach,Bulgaria,Modric Luka,Hazard Eden,Mbappe Kylian
Coach,Burkina Faso,Cristiano Ronaldo,Salah Mohamed,Messi Lionel
Coach,Burundi,Modric Luka,Hazard Eden,Kane Harry
Coach,Cambodia,Modric Luka,Griezmann Antoine,Mbappe Kylian
Coach,Canada,Modric Luka,De Bruyne Kevin,Salah Mohamed
Coach,Cape Verde Islands,Cristiano Ronaldo,Messi Lionel,Salah Mohamed
Coach,Cayman Islands,Mbappe Kylian,Hazard Eden,Kane Harry
Coach,Chad,Messi Lionel,Cristiano Ronaldo,Modric Luka
Coach,Chile,De Bruyne Kevin,Modric Luka,Hazard Eden
Coach,China PR,Mbappe Kylian,Modric Luka,Hazard Eden
Coach,Chinese Taipei,Kane Harry,Hazard Eden,Mbappe Kylian
Coach,Colombia,Griezmann Antoine,Modric Luka,Messi Lionel
Coach,Comoros,Griezmann Antoine,Modric Luka,Cristiano Ronaldo
Coach,Congo,Salah Mohamed,Modric Luka,Cristiano Ronaldo
Coach,Congo DR,Mbappe Kylian,Varane Raphael,Hazard Eden
Coach,Costa Rica,Hazard Eden,Modric Luka,Mbappe Kylian
Coach,Cote d'Ivoire,Varane Raphael,Cristiano Ronaldo,Salah Mohamed
Coach,Croatia,Modric Luka,Messi Lionel,Cristiano Ronaldo
Coach,Cuba,Modric Luka,Varane Raphael,Cristiano Ronaldo
Coach,Cyprus,Modric Luka,Hazard Eden,Mbappe Kylian
Coach,Czech Republic,Modric Luka,Mbappe Kylian,Salah Mohamed
Coach,Denmark,Cristiano Ronaldo,De Bruyne Kevin,Salah Mohamed
Coach,Dominica,Hazard Eden,Modric Luka,Mbappe Kylian
Coach,Dominican Republic,Griezmann Antoine,Modric Luka,Mbappe Kylian
Coach,Ecuador,Hazard Eden,Modric Luka,Mbappe Kylian
Coach,Egypt,Salah Mohamed,Modric Luka,Griezmann Antoine
Coach,El Salvador,Modric Luka,Mbappe Kylian,Cristiano Ronaldo
Coach,England,Modric Luka,Varane Raphael,Hazard Eden
Coach,Equatorial Guinea,Messi Lionel,Mbappe Kylian,Griezmann Antoine
Coach,Estonia,Modric Luka,Hazard Eden,Varane Raphael
Coach,Ethiopia,Cristiano Ronaldo,Messi Lionel,Salah Mohamed
Coach,Faroe Islands,Cristiano Ronaldo,Modric Luka,Mbappe Kylian
Coach,Fiji,Modric Luka,Griezmann Antoine,Hazard Eden
Coach,Finland,Modric Luka,Varane Raphael,Cristiano Ronaldo
Coach,France,Griezmann Antoine,Varane Raphael,Mbappe Kylian
Coach,FYR Macedonia,Modric Luka,Varane Raphael,De Bruyne Kevin
Coach,Gambia,Hazard Eden,Salah Mohamed,De Bruyne Kevin
Coach,Georgia,Modric Luka,Messi Lionel,Cristiano Ronaldo
Coach,Germany,Modric Luka,Mbappe Kylian,Hazard Eden
Coach,Gibraltar,Cristiano Ronaldo,Griezmann Antoine,Modric Luka
Coach,Greece,Mbappe Kylian,De Bruyne Kevin,Modric Luka
Coach,Guam,Hazard Eden,Modric Luka,Mbappe Kylian
Coach,Guatemala,De Bruyne Kevin,Messi Lionel,Mbappe Kylian
Coach,Guinea,Modric Luka,Messi Lionel,Cristiano Ronaldo
Coach,Guinea-Bissau,Cristiano Ronaldo,Mbappe Kylian,Messi Lionel
Coach,Haiti,Mbappe Kylian,Varane Raphael,Hazard Eden
Coach,Honduras,Modric Luka,Mbappe Kylian,Griezmann Antoine
Coach,Hong Kong,Modric Luka,Cristiano Ronaldo,Kane Harry
Coach,Hungary,Modric Luka,Mbappe Kylian,Hazard Eden
Coach,Iceland,Salah Mohamed,Modric Luka,De Bruyne Kevin
Coach,India,Salah Mohamed,Kane Harry,De Bruyne Kevin
Coach,IR Iran,Modric Luka,Mbappe Kylian,Hazard Eden
Coach,Iraq,Hazard Eden,Griezmann Antoine,De Bruyne Kevin
Coach,Israel,Cristiano Ronaldo,Messi Lionel,De Bruyne Kevin
Coach,Italy,Cristiano Ronaldo,Mbappe Kylian,Modric Luka
Coach,Jamaica,Modric Luka,Cristiano Ronaldo,Griezmann Antoine
Coach,Japan,Modric Luka,Cristiano Ronaldo,Mbappe Kylian
Coach,Jordan,Cristiano Ronaldo,Griezmann Antoine,Kane Harry
Coach,Kazakhstan,Modric Luka,Mbappe Kylian,Cristiano Ronaldo
Coach,Korea DPR,Messi Lionel,Mbappe Kylian,Cristiano Ronaldo
Coach,Korea Republic,Modric Luka,Mbappe Kylian,Salah Mohamed
Coach,Kosovo,Cristiano Ronaldo,Salah Mohamed,Modric Luka
Coach,Kyrgyz Republic,De Bruyne Kevin,Modric Luka,Hazard Eden
Coach,Laos,Modric Luka,Mbappe Kylian,De Bruyne Kevin
Coach,Latvia,Modric Luka,Griezmann Antoine,Varane Raphael
Coach,Lebanon,Modric Luka,Cristiano Ronaldo,Messi Lionel
Coach,Liechtenstein,Modric Luka,Cristiano Ronaldo,De Bruyne Kevin
Coach,Lithuania,Modric Luka,Hazard Eden,Mbappe Kylian
Coach,Luxembourg,Mbappe Kylian,Hazard Eden,Modric Luka
Coach,Macau,Modric Luka,Cristiano Ronaldo,Salah Mohamed
Coach,Madagascar,Hazard Eden,Modric Luka,Mbappe Kylian
Coach,Malawi,De Bruyne Kevin,Hazard Eden,Mbappe Kylian
Coach,Maldives,Modric Luka,Griezmann Antoine,Cristiano Ronaldo
Coach,Mali,Modric Luka,Mbappe Kylian,Hazard Eden
Coach,Malta,Modric Luka,De Bruyne Kevin,Hazard Eden
Coach,Mauritania,Modric Luka,Cristiano Ronaldo,Mbappe Kylian
Coach,Mauritius,Modric Luka,Salah Mohamed,Mbappe Kylian
Coach,Mexico,Hazard Eden,Modric Luka,Mbappe Kylian
Coach,Moldova,Modric Luka,Cristiano Ronaldo,Hazard Eden
Coach,Mongolia,Modric Luka,Cristiano Ronaldo,Hazard Eden
Coach,Montenegro,Modric Luka,Griezmann Antoine,Hazard Eden
Coach,Montserrat,Modric Luka,Cristiano Ronaldo,De Bruyne Kevin
Coach,Morocco,Cristiano Ronaldo,Hazard Eden,Mbappe Kylian
Coach,Mozambique,Modric Luka,Mbappe Kylian,Cristiano Ronaldo
Coach,Myanmar,Modric Luka,Hazard Eden,Griezmann Antoine
Coach,Namibia,Modric Luka,Cristiano Ronaldo,Salah Mohamed
Coach,Nepal,Hazard Eden,Griezmann Antoine,Cristiano Ronaldo
Coach,Netherlands,De Bruyne Kevin,Griezmann Antoine,Modric Luka
Coach,New Caledonia,Varane Raphael,Modric Luka,Hazard Eden
Coach,New Zealand,Modric Luka,De Bruyne Kevin,Salah Mohamed
Coach,Niger,Modric Luka,Mbappe Kylian,Griezmann Antoine
Coach,Nigeria,Modric Luka,Mbappe Kylian,Hazard Eden
Coach,Northern Ireland,Salah Mohamed,Modric Luka,De Bruyne Kevin
Coach,Norway,Modric Luka,Cristiano Ronaldo,Varane Raphael
Coach,Oman,Modric Luka,Messi Lionel,Cristiano Ronaldo
Coach,Pakistan,Modric Luka,Mbappe Kylian,Griezmann Antoine
Coach,Palestine,Griezmann Antoine,Modric Luka,Salah Mohamed
Coach,Panama,Modric Luka,De Bruyne Kevin,Mbappe Kylian
Coach,Peru,Griezmann Antoine,Varane Raphael,Modric Luka
Coach,Poland,Griezmann Antoine,Modric Luka,Hazard Eden
Coach,Portugal,Cristiano Ronaldo,Modric Luka,Hazard Eden
Coach,Puerto Rico,Cristiano Ronaldo,Modric Luka,Messi Lionel
Coach,Republic of Ireland,Messi Lionel,Cristiano Ronaldo,Salah Mohamed
Coach,Romania,Griezmann Antoine,Messi Lionel,Cristiano Ronaldo
Coach,Russia,Cristiano Ronaldo,Modric Luka,Griezmann Antoine
Coach,Samoa,Cristiano Ronaldo,Modric Luka,Salah Mohamed
Coach,San Marino,Cristiano Ronaldo,Hazard Eden,De Bruyne Kevin
Coach,Saudi Arabia,Messi Lionel,Modric Luka,Griezmann Antoine
Coach,Scotland,Salah Mohamed,Hazard Eden,Modric Luka
Coach,Senegal,Cristiano Ronaldo,Messi Lionel,Salah Mohamed
Coach,Serbia,Cristiano Ronaldo,Hazard Eden,Griezmann Antoine
Coach,Sierra Leone,Cristiano Ronaldo,Modric Luka,Griezmann Antoine
Coach,Singapore,Mbappe Kylian,Hazard Eden,Modric Luka
Coach,Slovakia,Modric Luka,Cristiano Ronaldo,Hazard Eden
Coach,Slovenia,Modric Luka,Cristiano Ronaldo,Griezmann Antoine
Coach,South Africa,Messi Lionel,Hazard Eden,De Bruyne Kevin
Coach,Spain,Messi Lionel,Modric Luka,Salah Mohamed
Coach,Sri Lanka,Modric Luka,Mbappe Kylian,Griezmann Antoine
Coach,St Kitts and Nevis,Griezmann Antoine,Cristiano Ronaldo,Mbappe Kylian
Coach,St Lucia,Cristiano Ronaldo,Mbappe Kylian,Modric Luka
Coach,Sudan,Modric Luka,Salah Mohamed,Mbappe Kylian
Coach,Suriname,Modric Luka,Cristiano Ronaldo,Messi Lionel
Coach,Swaziland,Modric Luka,Hazard Eden,Mbappe Kylian
Coach,Sweden,De Bruyne Kevin,Modric Luka,Hazard Eden
Coach,Switzerland,Modric Luka,Cristiano Ronaldo,Varane Raphael
Coach,Syria,Modric Luka,Messi Lionel,Griezmann Antoine
Coach,Tajikistan,Modric Luka,Mbappe Kylian,Griezmann Antoine
Coach,Tanzania,Mbappe Kylian,Cristiano Ronaldo,Modric Luka
Coach,Thailand,Modric Luka,Mbappe Kylian,Salah Mohamed
Coach,Timor-Leste,Modric Luka,Mbappe Kylian,Cristiano Ronaldo
Coach,Togo,Modric Luka,Mbappe Kylian,Hazard Eden
Coach,Turkey,Modric Luka,Griezmann Antoine,Salah Mohamed
Coach,Turkmenistan,Cristiano Ronaldo,Griezmann Antoine,Modric Luka
Coach,Turks and Caicos Islands,Modric Luka,Cristiano Ronaldo,Salah Mohamed
Coach,Uganda,Mbappe Kylian,Hazard Eden,Messi Lionel
Coach,Ukraine,Modric Luka,Cristiano Ronaldo,Griezmann Antoine
Coach,United Arab Emirates,Modric Luka,Salah Mohamed,Mbappe Kylian
Coach,Uruguay,Griezmann Antoine,Hazard Eden,Messi Lionel
Coach,US Virgin Islands,Modric Luka,Mbappe Kylian,Cristiano Ronaldo
Coach,USA,Messi Lionel,Cristiano Ronaldo,Modric Luka
Coach,Uzbekistan,Messi Lionel,Cristiano Ronaldo,Modric Luka
Coach,Vanuatu,Modric Luka,Griezmann Antoine,Salah Mohamed
Coach,Venezuela,Cristiano Ronaldo,Modric Luka,Mbappe Kylian
Coach,Vietnam,Hazard Eden,Modric Luka,Varane Raphael
Coach,Wales,Modric Luka,Mbappe Kylian,Cristiano Ronaldo
Coach,Zambia,De Bruyne Kevin,Modric Luka,Salah Mohamed
Media,Afghanistan,Cristiano Ronaldo,Salah Mohamed,Messi Lionel
Media,Albania,Modric Luka,Cristiano Ronaldo,Salah Mohamed
Media,American Samoa,Mbappe Kylian,Modric Luka,De Bruyne Kevin
Media,Andorra,Messi Lionel,Griezmann Antoine,Cristiano Ronaldo
Media,Angola,Modric Luka,Mbappe Kylian,Griezmann Antoine
Media,Antigua and Barbuda,Hazard Eden,Mbappe Kylian,Salah Mohamed
Media,Argentina,Modric Luka,Griezmann Antoine,Cristiano Ronaldo
Media,Armenia,Modric Luka,Griezmann Antoine,Mbappe Kylian
Media,Aruba,Mbappe Kylian,De Bruyne Kevin,Griezmann Antoine
Media,Australia,Cristiano Ronaldo,Modric Luka,Mbappe Kylian
Media,Austria,Modric Luka,Cristiano Ronaldo,Salah Mohamed
Media,Azerbaijan,Modric Luka,Mbappe Kylian,Salah Mohamed
